p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
2.41874708445778e-33	0.325268164883875	0.543	0.301	3.38963216415914e-29	0	IGFBP3
5.18263661961773e-33	0.322304744733624	0.921	0.861	7.26294695873228e-29	0	ALDOA
5.71934194033577e-30	-0.704910990099063	0.928	0.934	8.01508579518654e-26	0	NPPA
7.19292504615967e-30	0.33012824474785	0.984	0.965	1.00801651596882e-25	0	MYH7
6.31531913483014e-29	0.293153127985872	0.943	0.881	8.85028823555096e-25	0	HSPB7
1.24995628337649e-22	-0.381973837378449	0.49	0.661	1.75168873552381e-18	0	POSTN
2.43387042119598e-22	0.329022524126462	0.748	0.623	3.41082600826405e-18	0	LDHA
6.94613775530998e-21	0.31659972362211	0.795	0.666	9.7343174502914e-17	0	SORBS2
1.09353054519032e-20	0.326975956239479	0.85	0.818	1.53247370602972e-16	0	ENO1
1.26463691027547e-20	0.25808043278967	0.941	0.815	1.77226216606005e-16	0	MYL2
1.34955809922764e-20	-0.255597443809691	0.19	0.394	1.89127072025761e-16	0	ADCY5
2.55480764798573e-17	0.252442414339335	0.69	0.554	3.5803074378872e-13	0	PGK1
2.4236109812976e-14	0.260919488630981	0.545	0.407	3.39644842919046e-10	0	BNIP3
5.39555850714212e-14	-0.352061576816831	0.391	0.53	7.56133569190897e-10	0	SFRP1
2.05943509508681e-13	-0.299504133604892	0.312	0.468	2.88609234225465e-09	0	S100A6
6.4929205942557e-12	-0.311607239710918	0.795	0.865	9.09917892078994e-08	0	FN1
1.33169808575393e-09	-0.406870674554738	0.59	0.682	1.86624169737556e-05	0	TAGLN
2.42227414046473e-09	-0.389892727180702	0.34	0.444	3.39457498044728e-05	0	ACTA2
1.19678120266716e-08	-1.03111224640481	0.353	0.45	0.000167716917741775	0	ELN
6.0219582934071e-07	-0.34076803449673	0.272	0.356	0.00843917235238071	0	FAM210B
1.3494987736318e-06	-0.25181033899619	0.214	0.307	0.018911875813676	0	BLVRB
1.5652255425514e-05	-0.322014068052811	0.514	0.582	0.219350707533154	0	PAM
2.60204351273092e-05	-0.281151267291252	0.876	0.89	0.364650377874111	0	COL3A1
2.60850724386091e-05	-0.295143373813239	0.222	0.294	0.365556205154667	0	COL2A1
4.14100926090658e-05	-0.381266195175354	0.309	0.366	0.580321037823448	0	CXCL12
0.000410081631305167	-0.338007926700273	0.59	0.608	1.0	0	MB
0.0024267395971866	-0.827855491982464	0.636	0.645	1.0	0	MYH6
3.22960890701473e-55	0.452442066684922	0.987	0.964	4.52597392229044e-51	1	MYH7
2.87375311438057e-46	0.366651606137658	0.982	0.944	4.02727761449293e-42	1	MYL3
1.4056985073674e-42	0.434414166104716	0.951	0.815	1.96994588822467e-38	1	MYL2
3.78815420080291e-34	0.328388434811526	0.985	0.954	5.3087192970052e-30	1	ACTC1
8.8804940090825e-31	0.312175810320428	0.991	0.987	1.24451243043282e-26	1	TPM1
3.61029078733961e-26	-0.323833285476938	0.958	0.984	5.05946150937774e-22	1	ACTB
1.80241358327691e-25	0.25907153708633	0.978	0.932	2.52590239560427e-21	1	TNNI1
1.14912756336049e-24	0.304238249652531	0.874	0.741	1.61038736729339e-20	1	TNNI3
2.20978497957516e-24	0.333061902977022	0.785	0.612	3.09679267037663e-20	1	FHL2
3.60515999581613e-22	-0.495189981244675	0.566	0.715	5.05227121813673e-18	1	COL1A2
3.87249449238179e-22	-0.559778789302585	0.805	0.865	5.42691378162384e-18	1	COL1A1
6.7874678806445e-22	-0.462734768287199	0.838	0.898	9.5119574879352e-18	1	COL3A1
1.07665471513743e-21	0.324688242117736	0.818	0.7	1.50882391779359e-17	1	PFKP
1.41771685406925e-21	-0.452436656903764	0.54	0.703	1.98678839929265e-17	1	SPARC
1.54293483232037e-21	0.286714309444797	0.807	0.655	2.16226887401377e-17	1	PLN
5.08594242793634e-21	-0.540838636911352	0.259	0.46	7.12743971850998e-17	1	ACTA2
5.20637192582376e-19	0.264348204337371	0.825	0.684	7.29620961684941e-15	1	CKM
6.7764227069332e-19	0.253040969684043	0.892	0.76	9.49647878149619e-15	1	ACTN2
2.93591573137602e-18	0.267253049738545	0.832	0.712	4.11439230595035e-14	1	SLC25A4
8.31872560604812e-18	0.254722644861233	0.863	0.742	1.16578620643158e-13	1	TTN
1.3916894883637e-17	-0.334235618267798	0.166	0.353	1.9503136489929e-13	1	EGR1
4.3896572668071e-17	-0.433072831952667	0.214	0.405	6.15166569370347e-13	1	FOS
3.76618339056089e-16	0.279365463273963	0.858	0.747	5.27792940353204e-12	1	SLC8A1
1.75599007263614e-15	-0.328505229208814	0.797	0.863	2.46084448779229e-11	1	FN1
5.01438293870461e-15	-0.307018709539889	0.323	0.493	7.02715625030064e-11	1	IGFBP5
5.06535669556605e-15	-0.258911204893899	0.909	0.924	7.09859087316626e-11	1	ACTG1
1.28513555374308e-14	-0.256787095595609	0.712	0.805	1.80098896501555e-10	1	PTMA
1.97148171882566e-14	0.301264392888851	0.726	0.578	2.76283448076228e-10	1	MB
2.66066884858599e-14	-0.296292570748882	0.234	0.387	3.7286613244084e-10	1	KCTD12
1.71242658092835e-13	-1.04286427926268	0.308	0.458	2.39979461051299e-09	1	ELN
3.59882732358575e-13	-0.378480965098615	0.303	0.446	5.04339661127307e-09	1	MYH10
4.17536042537108e-13	-0.253078124544225	0.387	0.545	5.85135010011503e-09	1	PXDN
7.34047842628547e-13	-0.326655280113874	0.131	0.272	1.02869464665965e-08	1	CRABP2
1.8014705889778e-12	-0.442349280281038	0.237	0.38	2.52458088339348e-08	1	CXCL12
2.99622146305273e-12	-0.418343755330365	0.219	0.366	4.1989047583221e-08	1	FAM210B
5.48432696360893e-12	-0.264384754419719	0.542	0.661	7.68573580680155e-08	1	TPM4
2.22418184978549e-11	-0.405329964953342	0.573	0.684	3.11696844428938e-07	1	TAGLN
3.38901282218815e-11	-0.347577454953247	0.173	0.303	4.74936256901447e-07	1	COL2A1
1.38633967006132e-10	-0.347426015674548	0.412	0.525	1.94281641362393e-06	1	BGN
