gene_symbol	gene_dpi	gene_pli	protein_class	diseaseid	disease_semantic_type	score	ei	el	year_initial	year_final
MYH7	0.692	4.2385e-16		C0013481	Congenital Abnormality	0.44	1.0		2011	2018
BMPR1A	0.731	0.90333	DTO_03300101	C0013481	Congenital Abnormality	0.2				
NONO	0.731	0.9935	DTO_05007557	C0013481	Congenital Abnormality	0.11	1.0		2019	2019
CDK8	0.654	0.40964	DTO_03300101	C0013481	Congenital Abnormality	0.1				
NKX2-5	0.692	0.94531	DTO_05007542	C0013481	Congenital Abnormality	0.02	1.0		2002	2006
TPM1	0.615	0.0010165	DTO_05007530	C0013481	Congenital Abnormality	0.02	1.0		2016	2018
GATA4	0.846	0.49308		C0013481	Congenital Abnormality	0.01	1.0		2011	2011
HTC2	0.808			C0013481	Congenital Abnormality	0.01	1.0		2011	2011
CHDH	0.769	1.685e-06	DTO_05007624	C0013481	Congenital Abnormality	0.01	1.0		2019	2019
AKAP12	0.615	0.035666		C0013481	Congenital Abnormality	0.01	1.0		2017	2017
ADO	0.538	0.48027		C0345055	Congenital Abnormality	0.01	1.0		2017	2017
MYH7	0.692	4.2385e-16		C4023292	Anatomical Abnormality	0.1				
SNORD118	0.462			C0345001	Congenital Abnormality	0.01	1.0		2014	2014
XRCC1	0.923	6.3386e-09		C0345001	Congenital Abnormality	0.01	1.0		2014	2014
ZFPM2	0.731	1.0	DTO_05007542	C0039685	Congenital Abnormality	1.0	0.929	limited	2000	2018
NKX2-5	0.692	0.94531	DTO_05007542	C0039685	Congenital Abnormality	0.96	0.909		1999	2018
JAG1	0.808	1.0		C0039685	Congenital Abnormality	0.8	1.0		1999	2018
GATA4	0.846	0.49308		C0039685	Congenital Abnormality	0.8	0.952		2006	2018
TBX1	0.808	0.83661	DTO_05007542	C0039685	Congenital Abnormality	0.79	0.8	limited	1995	2019
GATA6	0.808	0.99709		C0039685	Congenital Abnormality	0.73	1.0		2010	2014
GDF1	0.692	0.41237	DTO_05007599	C0039685	Congenital Abnormality	0.71	1.0		2007	2017
GJA5	0.577	0.017871	DTO_05007527	C0039685	Congenital Abnormality	0.62	1.0		2003	2013
CITED2	0.654	0.76271	DTO_05007542	C0039685	Congenital Abnormality	0.61	1.0		2002	2018
FLT4	0.808	1.0	DTO_03300101	C0039685	Congenital Abnormality	0.54	1.0		2013	2019
GATA5	0.615	0.28478		C0039685	Congenital Abnormality	0.42	1.0		2013	2014
NKX2-6	0.385	0.018885	DTO_05007542	C0039685	Congenital Abnormality	0.4	1.0		2014	2014
FOXC2	0.731	0.13356	DTO_05007542	C0039685	Congenital Abnormality	0.4	1.0		2014	2014
FOXH1	0.654	0.041555		C0039685	Congenital Abnormality	0.4	1.0		2014	2014
HAND2	0.5	0.39908		C0039685	Congenital Abnormality	0.31	1.0		2014	2016
FGF8	0.769	0.67676	DTO_05007599	C0039685	Congenital Abnormality	0.3				
FOXC1	0.846	0.95337	DTO_05007542	C0039685	Congenital Abnormality	0.3	1.0		2014	2014
HEY2	0.731	0.89343	DTO_05007542	C0039685	Congenital Abnormality	0.22	1.0		2002	2015
MKS1	0.769	3.3768e-16	DTO_05007621	C0039685	Congenital Abnormality	0.21	1.0		2004	2010
DNAH5	0.692	4.8607e-64	DTO_05007624	C0039685	Congenital Abnormality	0.2	1.0		2007	2007
DOCK1	0.577	0.0068117		C0039685	Congenital Abnormality	0.2				
PHC1	0.692	0.99938	DTO_05007557	C0039685	Congenital Abnormality	0.2	1.0		1997	2002
INVS	0.538	5.5501e-18		C0039685	Congenital Abnormality	0.2	1.0		1998	1998
BMP10	0.5	0.90838	DTO_05007599	C0039685	Congenital Abnormality	0.2				
NTF3	0.808	0.93201	DTO_05007599	C0039685	Congenital Abnormality	0.2	1.0		1994	2009
HIRA	0.808	1.0	DTO_05007557	C0039685	Congenital Abnormality	0.13	1.0		1999	2016
NRP1	0.808	0.98584		C0039685	Congenital Abnormality	0.13	1.0		2013	2018
NOTCH1	0.885	1.0		C0039685	Congenital Abnormality	0.12	1.0		2009	2019
UFD1	0.769	0.99638		C0039685	Congenital Abnormality	0.12	1.0		2001	2001
COMT	0.923	1.1377e-06	DTO_05007624	C0039685	Congenital Abnormality	0.11	1.0		2002	2002
TAB2	0.654	0.99998		C0039685	Congenital Abnormality	0.11	1.0		2015	2015
FN1	0.962	0.0014045	DTO_05007599	C0039685	Congenital Abnormality	0.11	1.0		2006	2006
PTPN11	0.923	0.99998		C0039685	Congenital Abnormality	0.11	1.0		2012	2013
MKKS	0.692	2.1265e-09		C0039685	Congenital Abnormality	0.11	1.0		2004	2004
RNU4ATAC	0.808			C0039685	Congenital Abnormality	0.1				
SH2B3	0.692	0.00010289		C0039685	Congenital Abnormality	0.1	1.0		2013	2013
PQBP1	0.654	0.78935	DTO_05007542	C0039685	Congenital Abnormality	0.1				
SF3B4	0.615	0.99176		C0039685	Congenital Abnormality	0.1				
ZFPM2-AS1	0.385			C0039685	Congenital Abnormality	0.1				
MAD2L2	0.731	0.082082		C0039685	Congenital Abnormality	0.1				
LINC02676	0.077			C0039685	Congenital Abnormality	0.1	1.0		2013	2013
CERS1	0.385	0.096618		C0039685	Congenital Abnormality	0.1				
CHD4	0.654	1.0		C0039685	Congenital Abnormality	0.1				
CHRM3	0.885	0.99253	DTO_02300001	C0039685	Congenital Abnormality	0.1				
COL2A1	0.846	1.0		C0039685	Congenital Abnormality	0.1				
ELN	0.885	2.1429e-14		C0039685	Congenital Abnormality	0.1				
EPHB4	0.692	0.013497	DTO_03300101	C0039685	Congenital Abnormality	0.1	1.0		2009	2016
ERCC4	0.846	1.3758e-12	DTO_05007624	C0039685	Congenital Abnormality	0.1				
FANCA	0.731	1.5943e-68		C0039685	Congenital Abnormality	0.1				
FANCC	0.808	2.7921e-13		C0039685	Congenital Abnormality	0.1				
FANCD2	0.885	1.0974e-30		C0039685	Congenital Abnormality	0.1				
FANCE	0.808	1.5278e-06		C0039685	Congenital Abnormality	0.1				
FANCB	0.769	0.99631		C0039685	Congenital Abnormality	0.1				
FANCF	0.731	0.45886		C0039685	Congenital Abnormality	0.1				
FANCG	0.769	2.4859e-14		C0039685	Congenital Abnormality	0.1				
JMJD1C	0.769	1.0		C0039685	Congenital Abnormality	0.1				
FGFR1	0.885	0.99984	DTO_03300101	C0039685	Congenital Abnormality	0.1				
GPC5	0.654	3.9864e-10		C0039685	Congenital Abnormality	0.1	1.0		2013	2013
RPH3A	0.385	0.0016609		C0039685	Congenital Abnormality	0.1	1.0		2013	2013
FOXF1	0.692	0.95792		C0039685	Congenital Abnormality	0.1				
SPECC1L	0.654	0.85887		C0039685	Congenital Abnormality	0.1				
PIGN	0.615	2.29e-21	DTO_05007621	C0039685	Congenital Abnormality	0.1				
GABRD	0.692	0.99345	DTO_01300327	C0039685	Congenital Abnormality	0.1				
ALX3	0.692	0.019117		C0039685	Congenital Abnormality	0.1				
NIPBL	0.808	1.0	DTO_05007557	C0039685	Congenital Abnormality	0.1				
GAS1	0.654	0.81915		C0039685	Congenital Abnormality	0.1				
HIBCH	0.5	2.5766e-13	DTO_05007624	C0039685	Congenital Abnormality	0.1				
TBL2	0.731	0.00018452		C0039685	Congenital Abnormality	0.1				
INTU	0.769	7.6977e-10		C0039685	Congenital Abnormality	0.1				
GLI2	0.846	0.97303		C0039685	Congenital Abnormality	0.1				
GP1BB	0.769	0.51249		C0039685	Congenital Abnormality	0.1				
HECTD4	0.462	1.0		C0039685	Congenital Abnormality	0.1	1.0		2013	2013
DLL1	0.808	0.99999		C0039685	Congenital Abnormality	0.1				
EOGT	0.5	5.038e-09	DTO_05007624	C0039685	Congenital Abnormality	0.1				
CCDC22	0.692	0.99979		C0039685	Congenital Abnormality	0.1				
UBE2T	0.731	1.0599e-05		C0039685	Congenital Abnormality	0.1				
GTF2I	0.808	0.99592		C0039685	Congenital Abnormality	0.1				
RBPJ	0.808	0.99853	DTO_05007557	C0039685	Congenital Abnormality	0.1				
LIMK1	0.731	0.99937	DTO_03300101	C0039685	Congenital Abnormality	0.1				
ARVCF	0.769	5.0422e-11	DTO_05007530	C0039685	Congenital Abnormality	0.1				
COX1	0.885		DTO_05007624	C0039685	Congenital Abnormality	0.1				
COX2	0.962		DTO_05007624	C0039685	Congenital Abnormality	0.1				
COX3	0.808		DTO_05007624	C0039685	Congenital Abnormality	0.1				
RERE	0.846	1.0		C0039685	Congenital Abnormality	0.1				
NID1	0.577	7.2197e-12		C0039685	Congenital Abnormality	0.1				
NODAL	0.731	0.97028	DTO_05007599	C0039685	Congenital Abnormality	0.1				
NOTCH2	0.808	1.0		C0039685	Congenital Abnormality	0.1				
ROR2	0.731	0.00012401	DTO_03300101	C0039685	Congenital Abnormality	0.1				
PAH	0.769	6.4046e-23		C0039685	Congenital Abnormality	0.1				
CDON	0.731	2.0608e-15		C0039685	Congenital Abnormality	0.1				
DACT1	0.692	0.40017		C0039685	Congenital Abnormality	0.1				
SUFU	0.769	0.99992		C0039685	Congenital Abnormality	0.1				
RAB23	0.654	0.0056143		C0039685	Congenital Abnormality	0.1				
DLL4	0.769	0.99982		C0039685	Congenital Abnormality	0.1				
FANCL	0.731	5.9404e-23	DTO_05007624	C0039685	Congenital Abnormality	0.1				
RFWD3	0.731	3.5331e-10	DTO_05007624	C0039685	Congenital Abnormality	0.1				
FANCI	0.731	8.9116e-37		C0039685	Congenital Abnormality	0.1				
CHD7	0.846	1.0		C0039685	Congenital Abnormality	0.1				
VAC14	0.731	0.18554	DTO_05007575	C0039685	Congenital Abnormality	0.1				
HDAC8	0.885	0.97707	DTO_05007378	C0039685	Congenital Abnormality	0.1				
SALL4	0.769	0.99997	DTO_05007542	C0039685	Congenital Abnormality	0.1				
PTCH1	0.885	1.0		C0039685	Congenital Abnormality	0.1				
ARID1B	0.846	1.0		C0039685	Congenital Abnormality	0.1				
ARHGAP31	0.615	0.99999		C0039685	Congenital Abnormality	0.1				
DOCK6	0.577	1.2563e-26	DTO_05007584	C0039685	Congenital Abnormality	0.1				
FANCM	0.731	2.3536e-15	DTO_05007624	C0039685	Congenital Abnormality	0.1				
RAD51	0.846	0.026578		C0039685	Congenital Abnormality	0.1				
RAD51C	0.692	6.1906e-14		C0039685	Congenital Abnormality	0.1				
RET	0.885	1.0	DTO_03300101	C0039685	Congenital Abnormality	0.1				
RFC2	0.769	2.2054e-06	DTO_05007624	C0039685	Congenital Abnormality	0.1				
RPL5	0.615	0.99776	DTO_05007557	C0039685	Congenital Abnormality	0.1				
RREB1	0.808	1.0		C0039685	Congenital Abnormality	0.1				
SALL1	0.808	0.99971	DTO_05007542	C0039685	Congenital Abnormality	0.1				
ATXN2	0.808	0.85289	DTO_05007557	C0039685	Congenital Abnormality	0.1	1.0		2013	2013
PRDM16	0.808	0.99999		C0039685	Congenital Abnormality	0.1				
STRA6	0.731	1.5068e-10		C0039685	Congenital Abnormality	0.1				
NXN	0.577	0.99725		C0039685	Congenital Abnormality	0.1				
SHH	0.846	0.98258		C0039685	Congenital Abnormality	0.1				
SIX3	0.692	0.94714	DTO_05007542	C0039685	Congenital Abnormality	0.1				
